pc_time,esp_timestamp,mac_address,rssi,csi_len,subcarrier_0,subcarrier_1,subcarrier_2,subcarrier_3,subcarrier_4,subcarrier_5,subcarrier_6,subcarrier_7,subcarrier_8,subcarrier_9,subcarrier_10,subcarrier_11,subcarrier_12,subcarrier_13,subcarrier_14,subcarrier_15,subcarrier_16,subcarrier_17,subcarrier_18,subcarrier_19,subcarrier_20,subcarrier_21,subcarrier_22,subcarrier_23,subcarrier_24,subcarrier_25,subcarrier_26,subcarrier_27,subcarrier_28,subcarrier_29,subcarrier_30,subcarrier_31,subcarrier_32,subcarrier_33,subcarrier_34,subcarrier_35,subcarrier_36,subcarrier_37,subcarrier_38,subcarrier_39,subcarrier_40,subcarrier_41,subcarrier_42,subcarrier_43,subcarrier_44,subcarrier_45,subcarrier_46,subcarrier_47,subcarrier_48,subcarrier_49,subcarrier_50,subcarrier_51,subcarrier_52,subcarrier_53,subcarrier_54,subcarrier_55,subcarrier_56,subcarrier_57,subcarrier_58,subcarrier_59,subcarrier_60,subcarrier_61,subcarrier_62,subcarrier_63,subcarrier_64,subcarrier_65,subcarrier_66,subcarrier_67,subcarrier_68,subcarrier_69,subcarrier_70,subcarrier_71,subcarrier_72,subcarrier_73,subcarrier_74,subcarrier_75,subcarrier_76,subcarrier_77,subcarrier_78,subcarrier_79,subcarrier_80,subcarrier_81,subcarrier_82,subcarrier_83,subcarrier_84,subcarrier_85,subcarrier_86,subcarrier_87,subcarrier_88,subcarrier_89,subcarrier_90,subcarrier_91,subcarrier_92,subcarrier_93,subcarrier_94,subcarrier_95,subcarrier_96,subcarrier_97,subcarrier_98,subcarrier_99,subcarrier_100,subcarrier_101,subcarrier_102,subcarrier_103,subcarrier_104,subcarrier_105,subcarrier_106,subcarrier_107,subcarrier_108,subcarrier_109,subcarrier_110,subcarrier_111,subcarrier_112,subcarrier_113,subcarrier_114,subcarrier_115,subcarrier_116,subcarrier_117,subcarrier_118,subcarrier_119,subcarrier_120,subcarrier_121,subcarrier_122,subcarrier_123,subcarrier_124,subcarrier_125,subcarrier_126,subcarrier_127
1774851833.9484227,3050971,A4:F0:0F:5B:78:25,-60,256,42.01190307520001,17.0,22.47220505424423,22.135943621178654,22.135943621178654,20.8806130178211,20.8806130178211,20.615528128088304,20.396078054371138,20.396078054371138,20.396078054371138,20.223748416156685,20.09975124224178,20.09975124224178,20.024984394500787,20.024984394500787,21.095023109728988,20.09975124224178,20.09975124224178,20.223748416156685,19.235384061671343,19.4164878389476,18.439088914585774,18.681541692269406,18.027756377319946,17.08800749063506,17.46424919657298,3.1622776601683795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.123105625617661,17.46424919657298,17.72004514666935,18.027756377319946,18.384776310850235,19.697715603592208,20.12461179749811,21.095023109728988,21.633307652783937,20.808652046684813,21.400934559032695,22.02271554554524,21.2602916254693,21.2602916254693,20.615528128088304,20.615528128088304,20.808652046684813,20.808652046684813,20.248456731316587,21.095023109728988,21.470910553583888,21.470910553583888,21.470910553583888,22.360679774997898,22.360679774997898,23.259406699226016,23.259406699226016,15.297058540778355,44.721359549995796,43.56604182158393,43.41658669218482,42.2965719651132,42.190046219457976,41.19465984809196,40.11234224026316,39.05124837953327,39.01281840626232,39.01281840626232,39.0,39.01281840626232,39.11521443121589,39.20459156782532,39.319206502675,40.311288741492746,40.311288741492746,40.19950248448356,40.11234224026316,39.05124837953327,38.01315561749642,36.013886210738214,35.12833614050059,34.23448553724738,33.54101966249684,32.984845004941285,32.57299494980466,32.31098884280702,10.770329614269007,3.1622776601683795,1.4142135623730951,3.0,2.23606797749979,3.1622776601683795,11.180339887498949,33.24154027718932,33.06055050963308,34.0,34.132096331752024,35.35533905932738,36.49657518178932,38.07886552931954,39.56008088970496,40.162171256046406,40.85339643163099,41.6293165929973,41.14608122288197,41.593268686170845,41.182520563948,41.182520563948,40.70626487409524,40.24922359499622,40.718546143004666,40.85339643163099,41.78516483155236,41.43669871020132,42.05948168962618,41.7612260356422,42.44997055358225,43.174066289845804,43.174066289845804,44.14748010928823,44.14748010928823
1774851833.958787,3067504,A4:F0:0F:5B:78:25,-61,256,42.01190307520001,17.0,26.1725046566048,25.45584412271571,24.041630560342615,24.758836806279895,24.08318915758459,23.345235059857504,23.430749027719962,22.02271554554524,22.20360331117452,23.021728866442675,22.47220505424423,23.323807579381203,23.323807579381203,23.323807579381203,22.825424421026653,23.323807579381203,23.323807579381203,23.021728866442675,22.20360331117452,21.400934559032695,21.400934559032695,21.2602916254693,20.518284528683193,19.79898987322333,20.518284528683193,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.242640687119285,18.439088914585774,19.1049731745428,19.1049731745428,19.849433241279208,20.615528128088304,20.808652046684813,22.47220505424423,22.825424421026653,22.825424421026653,23.706539182259394,23.706539182259394,23.706539182259394,23.706539182259394,22.825424421026653,22.825424421026653,22.825424421026653,22.825424421026653,23.323807579381203,24.413111231467404,24.413111231467404,25.0,25.0,24.20743687382041,24.839484696748443,25.495097567963924,26.248809496813376,18.439088914585774,49.57822102496216,48.83646178829912,48.104053883222775,47.38143096192854,46.69047011971501,45.34313619501854,43.93176527297759,44.68780594300866,44.82186966202994,44.204072210600685,44.654227123532216,44.94441010848846,44.41846462902562,43.9089968002003,44.41846462902562,44.41846462902562,44.41846462902562,44.10215414239989,44.10215414239989,42.43819034784589,42.20189569201838,40.607881008493905,40.45985664828782,40.36087214122113,39.59797974644666,39.05124837953327,38.8329756778952,38.58756276314948,13.416407864998739,4.123105625617661,1.0,2.0,1.0,3.1622776601683795,12.083045973594572,33.1058907144937,33.61547262794322,35.0,35.38361202590826,36.796738985948195,37.64306044943742,39.824615503479755,41.617304093369626,43.266615305567875,44.10215414239989,43.9089968002003,44.77722635447622,44.294469180700204,44.77722635447622,44.77722635447622,44.294469180700204,44.294469180700204,44.77722635447622,44.77722635447622,45.79301256742124,45.48626166217664,45.803929962395145,45.60701700396552,46.22769732530488,47.50789408087881,48.83646178829912,49.51767361255979,50.20956084253277
1774851833.981897,3092464,A4:F0:0F:5B:78:25,-60,256,42.01190307520001,17.0,26.30589287593181,26.476404589747453,26.476404589747453,26.68332812825267,25.709920264364882,24.73863375370596,25.0,24.351591323771842,24.698178070456937,24.698178070456937,24.698178070456937,25.079872407968907,25.079872407968907,25.495097567963924,26.832815729997478,26.40075756488817,26.0,26.0,25.632011235952593,25.298221281347036,23.769728648009426,23.53720459187964,23.345235059857504,23.194827009486403,23.08679276123039,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.123105625617661,17.46424919657298,17.26267650163207,18.110770276274835,19.026297590440446,20.024984394500787,20.0,21.02379604162864,22.090722034374522,22.090722034374522,22.20360331117452,22.360679774997898,22.360679774997898,22.360679774997898,22.360679774997898,22.20360331117452,22.20360331117452,23.08679276123039,23.021728866442675,24.0,24.0,24.020824298928627,24.08318915758459,25.079872407968907,26.1725046566048,27.16615541441225,27.294688127912362,18.439088914585774,52.630789467763066,52.630789467763066,51.92301994298868,50.96076922496363,50.0,49.33558553417604,49.64876634922564,49.39635614091387,49.24428900898052,49.193495504995376,49.64876634922564,49.24428900898052,49.24428900898052,49.73932046178355,49.73932046178355,49.73932046178355,50.11985634456667,49.64876634922564,49.193495504995376,48.33218389437829,47.53945729601885,46.8187996428785,46.17358552246078,45.35416188179427,44.91102314577124,43.289721643826724,43.01162633521314,44.01136216933077,15.033296378372908,4.123105625617661,2.23606797749979,2.8284271247461903,2.23606797749979,2.8284271247461903,11.661903789690601,31.76476034853718,33.1058907144937,33.24154027718932,34.48187929913333,34.92849839314596,36.6742416417845,38.3275357934736,39.11521443121589,41.048751503547585,42.0,42.04759208325728,42.1070065428546,42.1070065428546,43.18564576337837,43.104524124504614,43.04648650006177,43.01162633521314,43.0,43.01162633521314,43.04648650006177,44.181444068749045,45.27692569068709,47.51841748206689,48.662100242385755,49.8196748283246,50.99019513592785,51.19570294468082,51.19570294468082
1774851834.0093305,3117436,A4:F0:0F:5B:78:25,-60,256,42.01190307520001,17.0,26.076809620810597,26.076809620810597,26.627053911388696,25.80697580112788,24.413111231467404,24.20743687382041,24.20743687382041,23.430749027719962,23.345235059857504,24.041630560342615,23.345235059857504,22.67156809750927,23.345235059857504,24.08318915758459,24.08318915758459,24.041630560342615,24.041630560342615,23.345235059857504,23.345235059857504,22.67156809750927,21.400934559032695,20.808652046684813,20.808652046684813,20.248456731316587,20.591260281974,4.47213595499958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.242640687119285,19.1049731745428,19.849433241279208,20.0,20.808652046684813,21.095023109728988,22.825424421026653,23.259406699226016,23.769728648009426,23.769728648009426,24.698178070456937,24.351591323771842,24.351591323771842,24.351591323771842,24.351591323771842,23.40939982143925,24.351591323771842,23.769728648009426,24.166091947189145,24.166091947189145,24.596747752497688,24.596747752497688,25.059928172283335,26.419689627245813,26.92582403567252,27.459060435491963,27.459060435491963,17.4928556845359,51.31276644267,51.31276644267,51.31276644267,51.03920062069938,50.21951811795888,48.60041152089147,47.80167361086848,46.22769732530488,46.09772228646444,46.09772228646444,45.34313619501854,44.598206241955516,44.553338819890925,45.27692569068709,46.010868281309364,46.75467891024384,47.4236228055175,46.69047011971501,45.27692569068709,44.553338819890925,43.86342439892262,43.278170016764804,42.20189569201838,41.048751503547585,40.311288741492746,38.91015291668744,38.62641583165593,37.64306044943742,13.341664064126334,4.0,2.23606797749979,2.8284271247461903,1.4142135623730951,3.605551275463989,12.806248474865697,36.235341863986875,36.76955262170047,36.87817782917155,38.600518131237564,39.11521443121589,40.8166632639171,42.05948168962618,43.829214001622255,45.18849411078001,46.61544808322666,47.16990566028302,47.43416490252569,47.80167361086848,47.53945729601885,47.53945729601885,46.57252408878007,46.84015371452148,46.486557196677836,46.8187996428785,47.53945729601885,47.4236228055175,48.30113870293329,48.76474136094644,50.60632371551998,51.97114584074513,51.97114584074513,51.97114584074513,51.478150704935004
1774851834.0326889,3142437,A4:F0:0F:5B:78:25,-61,256,42.01190307520001,17.0,24.698178070456937,24.351591323771842,24.351591323771842,23.08679276123039,23.08679276123039,22.80350850198276,21.840329667841555,21.37755832643195,21.213203435596427,21.213203435596427,21.213203435596427,21.213203435596427,21.095023109728988,22.090722034374522,22.02271554554524,22.090722034374522,22.20360331117452,22.20360331117452,21.213203435596427,21.37755832643195,20.615528128088304,19.924858845171276,19.924858845171276,19.313207915827967,19.313207915827967,4.47213595499958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.47213595499958,17.72004514666935,18.027756377319946,18.384776310850235,18.788294228055936,19.235384061671343,19.72308292331602,20.808652046684813,21.400934559032695,21.400934559032695,22.02271554554524,22.02271554554524,22.02271554554524,22.02271554554524,22.02271554554524,21.400934559032695,21.400934559032695,20.808652046684813,21.095023109728988,21.95449840010015,21.95449840010015,22.825424421026653,23.259406699226016,23.259406699226016,24.166091947189145,24.166091947189145,24.166091947189145,17.029386365926403,47.01063709417264,47.01063709417264,46.0,46.010868281309364,46.04345773288535,45.09988913511872,44.181444068749045,42.42640687119285,41.773197148410844,40.26164427839479,40.52159917870962,41.7612260356422,42.05948168962618,42.05948168962618,42.05948168962618,42.720018726587654,42.720018726587654,43.174066289845804,41.97618372363071,41.593268686170845,40.44749683231337,39.319206502675,38.3275357934736,37.12142238654117,37.013511046643494,36.05551275463989,35.35533905932738,35.6931365951495,12.649110640673518,3.605551275463989,2.0,2.23606797749979,2.23606797749979,3.1622776601683795,10.44030650891055,31.04834939252005,31.575306807693888,32.14031735997639,33.015148038438355,34.058772731852805,35.22782990761707,37.33630940518894,38.63935817272331,39.05124837953327,40.52159917870962,40.52159917870962,40.80441152620633,40.80441152620633,40.52159917870962,40.52159917870962,40.52159917870962,40.52159917870962,40.26164427839479,41.23105625617661,41.97618372363071,42.7551166528639,42.42640687119285,43.289721643826724,44.181444068749045,45.044422518220834,46.010868281309364,47.0,47.0
1774851834.0600553,3167437,A4:F0:0F:5B:78:25,-58,256,42.01190307520001,17.0,24.186773244895647,23.08679276123039,23.08679276123039,23.08679276123039,22.02271554554524,22.0,22.02271554554524,21.02379604162864,22.02271554554524,22.090722034374522,21.213203435596427,21.37755832643195,21.37755832643195,22.360679774997898,22.360679774997898,22.360679774997898,22.20360331117452,22.090722034374522,22.090722034374522,21.02379604162864,21.02379604162864,20.0,20.024984394500787,19.1049731745428,19.235384061671343,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,17.029386365926403,17.11724276862369,17.11724276862369,18.24828759089466,18.681541692269406,19.924858845171276,20.248456731316587,20.615528128088304,20.615528128088304,21.02379604162864,21.470910553583888,21.470910553583888,21.02379604162864,21.02379604162864,21.02379604162864,20.615528128088304,20.615528128088304,21.18962010041709,20.8806130178211,20.8806130178211,21.587033144922902,22.561028345356956,23.345235059857504,23.345235059857504,23.345235059857504,24.331050121192877,16.0312195418814,46.09772228646444,46.09772228646444,45.09988913511872,45.044422518220834,44.01136216933077,43.01162633521314,43.04648650006177,43.104524124504614,43.18564576337837,43.18564576337837,42.190046219457976,42.2965719651132,41.593268686170845,41.97618372363071,43.174066289845804,44.384682042344295,44.384682042344295,44.14748010928823,43.73785545725808,42.579337712087536,42.42640687119285,41.19465984809196,39.05124837953327,38.01315561749642,37.12142238654117,36.49657518178932,34.92849839314596,35.73513677041127,12.649110640673518,3.1622776601683795,2.23606797749979,2.0,2.23606797749979,3.605551275463989,11.40175425099138,31.575306807693888,32.14031735997639,32.01562118716424,33.015148038438355,34.132096331752024,35.22782990761707,36.49657518178932,37.8549864614954,39.293765408777,39.84971769034255,40.496913462633174,41.23105625617661,41.6293165929973,41.14608122288197,41.14608122288197,39.81205847478876,39.92492955535426,40.162171256046406,39.84971769034255,40.52159917870962,41.23105625617661,41.0,42.95346318982906,44.721359549995796,45.70557952810576,46.52956049652737,46.52956049652737,46.389654018972806
1774851834.0854168,3192328,A4:F0:0F:5B:78:25,-59,256,42.01190307520001,17.0,27.892651361962706,26.92582403567252,26.92582403567252,27.202941017470888,26.248809496813376,25.632011235952593,25.632011235952593,24.698178070456937,24.698178070456937,25.079872407968907,24.596747752497688,25.059928172283335,25.553864678361276,25.553864678361276,25.553864678361276,25.942243542145693,25.942243542145693,25.495097567963924,25.079872407968907,24.698178070456937,24.351591323771842,24.041630560342615,23.769728648009426,22.360679774997898,22.20360331117452,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0990195135927845,20.248456731316587,20.8806130178211,21.587033144922902,22.360679774997898,22.360679774997898,23.194827009486403,24.020824298928627,25.0,25.0,25.019992006393608,25.079872407968907,25.079872407968907,25.079872407968907,25.079872407968907,25.019992006393608,25.019992006393608,25.0,25.019992006393608,25.079872407968907,25.179356624028344,26.1725046566048,26.30589287593181,26.30589287593181,27.459060435491963,27.459060435491963,28.442925306655784,19.235384061671343,53.33854141237835,51.97114584074513,51.97114584074513,50.774009099144415,49.64876634922564,48.60041152089147,47.80167361086848,47.01063709417264,46.861498055439924,46.75467891024384,46.69047011971501,47.38143096192854,48.104053883222775,48.83646178829912,48.83646178829912,48.83646178829912,49.51767361255979,48.79549159502341,48.79549159502341,48.104053883222775,46.75467891024384,46.861498055439924,45.60701700396552,44.654227123532216,43.04648650006177,42.485291572496,41.78516483155236,40.80441152620633,14.317821063276353,5.0,1.4142135623730951,2.23606797749979,1.4142135623730951,3.605551275463989,13.45362404707371,36.124783736376884,37.48332962798263,37.8021163428716,39.11521443121589,39.824615503479755,41.14608122288197,42.5440947723653,44.01136216933077,45.5411901469428,47.12748667179272,47.80167361086848,47.53945729601885,48.27007354458868,48.27007354458868,48.27007354458868,48.27007354458868,47.29693436154187,46.32493928760188,46.57252408878007,46.17358552246078,46.8187996428785,47.53945729601885,48.33218389437829,48.75448697299562,50.53711507397311,51.0,51.97114584074513,52.478567053607705
1774851834.110527,3217635,A4:F0:0F:5B:78:25,-62,256,42.01190307520001,17.0,24.698178070456937,24.698178070456937,24.698178070456937,24.698178070456937,24.166091947189145,24.596747752497688,23.706539182259394,23.706539182259394,24.186773244895647,23.853720883753127,23.853720883753127,24.413111231467404,24.413111231467404,24.413111231467404,24.413111231467404,25.238858928247925,24.698178070456937,24.698178070456937,24.186773244895647,24.186773244895647,23.706539182259394,23.259406699226016,22.47220505424423,22.135943621178654,21.840329667841555,5.385164807134504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.47213595499958,16.76305461424021,16.76305461424021,17.46424919657298,17.26267650163207,18.24828759089466,18.110770276274835,19.026297590440446,19.026297590440446,20.0,20.0,21.02379604162864,20.024984394500787,20.024984394500787,20.0,20.024984394500787,20.024984394500787,20.024984394500787,20.09975124224178,21.37755832643195,21.587033144922902,22.561028345356956,22.80350850198276,23.769728648009426,25.0,25.0,25.0,16.76305461424021,48.08326112068523,48.38388161361178,49.040799340956916,48.104053883222775,48.46648326421054,47.53945729601885,47.01063709417264,46.09772228646444,46.51881339845203,46.06517122512408,46.52956049652737,46.14108798023731,46.32493928760188,46.04345773288535,46.61544808322666,47.43416490252569,49.09175083453431,49.39635614091387,48.373546489791295,47.41307836451879,46.06517122512408,44.28317965096906,43.46262762420146,42.720018726587654,43.01162633521314,41.97618372363071,41.43669871020132,41.19465984809196,14.035668847618199,4.0,2.0,2.0,1.0,2.8284271247461903,10.816653826391969,30.4138126514911,30.463092423455635,31.622776601683793,32.28002478313795,32.7566787083184,34.52535300326414,35.35533905932738,36.22154055254967,38.05259518088089,38.01315561749642,39.01281840626232,39.01281840626232,39.05124837953327,39.05124837953327,39.05124837953327,39.01281840626232,39.0,40.049968789001575,40.11234224026316,40.19950248448356,41.30375285612676,41.43669871020132,41.593268686170845,43.93176527297759,45.12205669071391,46.57252408878007,47.80167361086848,48.76474136094644
1774851834.1339226,3242440,A4:F0:0F:5B:78:25,-62,256,42.01190307520001,17.0,24.698178070456937,24.698178070456937,23.769728648009426,23.259406699226016,22.360679774997898,21.470910553583888,21.095023109728988,21.095023109728988,21.095023109728988,20.808652046684813,20.0,20.615528128088304,19.849433241279208,19.209372712298546,19.209372712298546,19.209372712298546,19.209372712298546,18.601075237738275,18.601075237738275,17.804493814764857,17.204650534085253,16.64331697709324,16.1245154965971,15.652475842498529,15.652475842498529,4.123105625617661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.385164807134504,21.93171219946131,21.540659228538015,22.135943621178654,22.80350850198276,23.769728648009426,24.515301344262525,25.317977802344327,25.317977802344327,25.179356624028344,26.076809620810597,26.076809620810597,26.076809620810597,25.079872407968907,25.079872407968907,25.079872407968907,25.079872407968907,25.179356624028344,24.331050121192877,24.515301344262525,24.73863375370596,25.0,25.0,25.298221281347036,25.298221281347036,25.298221281347036,26.248809496813376,18.35755975068582,49.39635614091387,48.02082881417188,47.16990566028302,45.48626166217664,43.829214001622255,42.80186911806539,42.01190307520001,41.23105625617661,41.86884283091664,41.10960958218893,40.36087214122113,38.897300677553446,38.2099463490856,37.53664875824692,37.53664875824692,37.53664875824692,37.53664875824692,36.796738985948195,36.069377593742864,34.655446902326915,33.94112549695428,32.55764119219941,31.89043743820395,30.610455730027933,29.410882339705484,29.154759474226502,28.635642126552707,28.231188426986208,10.44030650891055,3.0,1.0,2.23606797749979,1.4142135623730951,4.242640687119285,14.142135623730951,38.897300677553446,38.948684188300895,39.20459156782532,41.048751503547585,41.677331968349414,43.41658669218482,44.721359549995796,46.51881339845203,47.01063709417264,48.46648326421054,48.703182647543684,49.040799340956916,49.47726750741192,49.24428900898052,48.27007354458868,47.29693436154187,46.57252408878007,46.84015371452148,47.43416490252569,46.8187996428785,47.53945729601885,47.4236228055175,46.95742752749558,47.41307836451879,47.41307836451879,48.76474136094644,48.76474136094644,49.24428900898052
1774851834.159561,3267349,A4:F0:0F:5B:78:25,-60,256,42.01190307520001,17.0,26.076809620810597,25.80697580112788,25.0,25.0,24.413111231467404,24.20743687382041,23.430749027719962,22.67156809750927,21.93171219946131,21.93171219946131,22.67156809750927,22.67156809750927,22.67156809750927,22.80350850198276,22.80350850198276,23.430749027719962,22.67156809750927,22.627416997969522,21.93171219946131,21.93171219946131,21.2602916254693,20.615528128088304,20.615528128088304,20.0,20.248456731316587,5.385164807134504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,19.209372712298546,20.0,20.248456731316587,21.095023109728988,21.470910553583888,22.360679774997898,23.769728648009426,23.40939982143925,23.08679276123039,24.041630560342615,25.0,24.73863375370596,24.041630560342615,24.041630560342615,23.08679276123039,23.08679276123039,23.40939982143925,23.769728648009426,24.166091947189145,24.166091947189145,24.596747752497688,24.596747752497688,25.059928172283335,25.553864678361276,26.419689627245813,26.419689627245813,17.804493814764857,50.44799302251776,49.678969393496885,48.91829923454004,47.4236228055175,46.69047011971501,45.967379738244816,43.86342439892262,43.278170016764804,41.400483088968905,41.88078318274385,42.190046219457976,42.5440947723653,42.5440947723653,43.04648650006177,43.04648650006177,43.56604182158393,44.10215414239989,43.829214001622255,44.40720662234904,42.80186911806539,41.23105625617661,40.45985664828782,39.698866482558415,39.6232255123179,38.897300677553446,37.64306044943742,37.44329045369811,38.07886552931954,13.416407864998739,4.123105625617661,1.0,2.0,1.0,3.605551275463989,12.529964086141668,34.88552708502482,36.05551275463989,37.64306044943742,38.18376618407357,38.28837943815329,40.0,40.80441152620633,42.720018726587654,44.41846462902562,44.77722635447622,45.17742799230607,44.721359549995796,44.721359549995796,45.617978911828175,45.617978911828175,45.617978911828175,45.18849411078001,44.721359549995796,44.721359549995796,44.77722635447622,45.27692569068709,46.32493928760188,46.04345773288535,46.61544808322666,47.01063709417264,48.27007354458868,49.57822102496216,50.24937810560445
